ID,Area,Route,Feature,Client Feedback,Expected Behavior,How Tested,Viewport,Status,Severity,Error Found,Fix Applied,Retest Status,Notes
1,Hero,/,Top-right duplicate asset text,Remove duplicate "Execution Labs" text in top-right hero asset area,Hero still uses real glass asset but the top-right asset text is masked by clean black,Playwright matrix + visual asset inspection,"390x844;430x932;844x390;932x430;1366x768;1440x900",Pass,High,Top-right text existed inside hero-glass.png,Added black mask over the top-right hero asset area,Pass,Real asset preserved
2,Hero,/,Founder-led copy,Copy feels AI/v0,Hero states agents and software save time and the team pushes client vision further,npm run build + route checks,all,Pass,High,Generic phrasing,Rewrote hero and supporting copy around brand truth,Pass,
3,Nav,all,Single CTA,Remove Book a call keep only Start a project,Only Start a project appears in nav hero services final CTA footer and contact,rg + Playwright text checks,all,Pass,High,Secondary CTA remained,Removed CALENDAR_URL runtime usage and all visible Book a call UI,Pass,Older strategy docs may mention prior CTA history
4,Nav,all,Mobile navbar,Mobile navbar looks bad,Mobile menu is black compact touch-friendly closes on navigation,Playwright interaction test,"390x844;844x390",Pass,High,Menu styling was basic,Rebuilt mobile panel rows CTA and toggle affordance,Pass,
5,Preloader,all,Logo-led preloader,Clean preloader with real logo,Client-only overlay uses logo.png and exits in 760ms; no preloader under reduced motion,npm run lint + viewport checks,all,Pass,Med,None,Added Preloader component and CSS timing,Pass,Does not gate no-JS content
6,Capabilities,/,Merge sections,Merge Four things we build and Services into one consistent section,Homepage has one Services kept simple section with four build types and icons,Playwright matrix,all,Pass,High,Separate/generic sections,Rewrote WhatWeBuild with concise service framing and lucide icons,Pass,
7,Icons,/,Better icons,Better icons,Capability cards use lucide icons with restrained hover states,npm run lint + route checks,all,Pass,Med,Weak abstract blocks,Added Bot PanelsTopLeft ChartNoAxesCombined Workflow icons,Pass,
8,Phone showcase,/,Remove weak fake UI,Replace weak fake UI phone section with real projects and motion work,PhoneShowcase removed; homepage uses MotionWork and project-led vertical work rail,rg + Playwright matrix,all,Pass,High,Fake phone UI section was mounted,Deleted PhoneShowcase and replaced homepage import with MotionWork,Pass,
9,Work motion,/,Vertical work motion,Systems we put into the world needs vertical scrolling motion,Selected work section uses a vertical project rail that pauses on hover and stops under reduced motion,Playwright matrix,all,Pass,High,Horizontal static carousel,Rebuilt WorkCarousel as vertical animated project rail,Pass,All required named projects remain visible in data and /work
10,Motion work,/,Video/motion work,Add video/motion work from Drive MP4s,MotionWork section uses real glass asset and is ready for local MP4 placements,Drive search + local asset scan,all,Partial,Med,Drive connector exposed brief only; no MP4s found locally or in accessible Drive search,Used local hero-glass.png for controlled motion panels,Partial,No invented videos or logos
11,Orbit case,/work/orbit-artist-group,Case reveal animation,Add Orbit Artist Group case loading/reveal animation,Orbit case includes animated agent queue reveal panel,Playwright matrix,all,Pass,Med,None,Added OrbitCaseReveal component rendered only on Orbit slug,Pass,
12,Final CTA,all,Left-to-right reveal,Have a system worth building needs clean left-to-right text reveal,Final CTA headline uses text-wipe animation and visible fallback,Playwright matrix,all,Pass,Med,None,Added text-wipe CSS and applied to final CTA headline,Pass,
13,Projects,/work,Required visible projects,Keep Grace Orbit Artist Group Media Scaling Soniq and Dividends & Total Returns visible,All required projects remain in caseStudies and /work route renders them,Playwright matrix + build SSG output,all,Pass,High,None,Kept required slugs and cards,Pass,
14,Responsive,required routes,Blank sections overflow clipped text,Fix blank sections overflow mobile nav issues and clipped text,No horizontal overflow; content length and main height valid; offscreen controls absent,Playwright matrix,"390x844;430x932;844x390;932x430;1366x768;1440x900",Pass,High,None,Adjusted sections nav and motion containers,Pass,30 route/viewport checks passed
15,Build,all,Lint and build,Run npm run lint and npm run build,Both commands pass; Next exports 13 static pages,Terminal commands,all,Pass,High,None,Fixed preloader lint issue and verified static export,Pass,
